"","VehicleModel","WT","MPG","DR_RATIO"
"1","Buick Estate Wagon",4.36,16.9,2.73
"2","Ford Country Squire Wagon",4.054,15.5,2.26
"3","Chevy Ma libu Wagon",3.605,19.2,2.56
"4","Chrysler LeBaron Wagon",3.94,18.5,2.45
"5","Chevette",2.155,30,3.7
"6","Toyota Corona",2.56,27.5,3.05
"7","Datsun 510",2.3,27.2,3.54
"8","Dodge Omni",2.23,30.9,3.37
"9","Audi 5000",2.83,20.3,3.9
"10","Volvo 240 CL",3.14,17,3.5
"11","Saab 99 GLE",2.795,21.6,3.77
"12","Peugeot 694 SL",3.41,16.2,3.58
"13","Buick Century Special",3.38,20.6,2.73
"14","Mercury Zephyr",3.07,20.8,3.08
"15","Dodge Aspen",3.62,18.6,2.71
"16","AMC Concord D/L",3.41,18.1,2.73
"17","Chevy Caprice Classic",3.84,17,2.41
"18","Ford LTP",3.725,17.6,2.26
"19","Mercury Grand Marquis",3.955,16.5,2.26
"20","Dodge St Regis",3.83,18.2,2.45
"21","Ford Mustang 4",2.585,26.5,3.08
"22","Ford Mustang Ghia",2.91,21.9,3.08
"23","Mazda GLC",1.975,34.1,3.73
"24","Dodge Colt",1.915,35.1,2.97
"25","AMC Spirit",2.67,27.4,3.08
"26","VW Scirocco",1.99,31.5,3.78
"27","Honda Accord LX",2.135,29.5,3.05
"28","Buick Skylark",2.57,28.4,2.53
"29","Chevy Citation",2.595,28.8,2.69
"30","Olds Omega",2.7,26.8,2.84
"31","Pontiac Phoenix",2.556,33.5,2.69
"32","Plymouth Horizon",2.2,34.2,3.37
"33","Datsun 210",2.02,31.8,3.7
"34","Fiat Strada",2.13,37.3,3.1
"35","VW Dasher",2.19,30.5,3.7
"36","Datsun 810",2.815,22,3.7
"37","BMW 320i",2.6,21.5,3.64
"38","VW Rabbit",1.925,31.9,3.78
