"","Concentration","CompressiveStrength","mean_concom","sum_sq"
"1",10,25.2,27.0666666666667,6.20666666666667
"2",10,27.3,27.0666666666667,6.20666666666667
"3",10,28.7,27.0666666666667,6.20666666666667
"4",15,29.8,29.5666666666667,5.52666666666667
"5",15,31.1,29.5666666666667,5.52666666666667
"6",15,27.8,29.5666666666667,5.52666666666667
"7",20,31.2,31.1666666666667,4.20666666666667
"8",20,32.6,31.1666666666667,4.20666666666667
"9",20,29.7,31.1666666666667,4.20666666666667
"10",25,31.7,31.3666666666667,2.58666666666666
"11",25,30.1,31.3666666666667,2.58666666666666
"12",25,32.3,31.3666666666667,2.58666666666666
"13",30,29.4,31,5.83999999999999
"14",30,30.8,31,5.83999999999999
"15",30,32.8,31,5.83999999999999
