"","SpecificGravity","ModulusOfRupture"
"1",0.414,29186
"2",0.383,29266
"3",0.399,26215
"4",0.402,30162
"5",0.442,38867
"6",0.422,37831
"7",0.466,44576
"8",0.5,46097
"9",0.514,59698
"10",0.53,67705
"11",0.569,66088
"12",0.558,78486
"13",0.577,89869
"14",0.572,77369
"15",0.548,67095
"16",0.581,85156
"17",0.557,69571
"18",0.55,84160
"19",0.531,73466
"20",0.55,78610
"21",0.556,67657
"22",0.523,74017
"23",0.602,87291
"24",0.569,86836
"25",0.544,82540
"26",0.557,81699
"27",0.53,82096
"28",0.547,75657
"29",0.585,80490
