"","niter_z","niter_t","niter_chisq","niter_f"
"1",22,20,26,27
"2",15,17,15,21
"3",23,24,26,17
"4",20,18,24,19
"5",21,18,22,22
"6",17,16,22,24
"7",23,27,15,21
"8",16,23,24,31
"9",23,21,19,23
"10",29,30,20,15
"11",18,22,20,23
"12",14,18,23,23
"13",16,24,22,20
"14",19,20,18,18
"15",27,32,26,20
"16",18,25,18,23
"17",28,17,23,24
"18",25,15,21,23
"19",28,18,25,23
"20",24,14,15,16
"21",23,24,19,19
"22",30,14,24,28
"23",16,13,20,32
"24",20,16,24,30
"25",15,24,22,18
"26",29,29,22,21
"27",25,20,19,31
"28",17,22,17,25
"29",31,24,14,31
"30",23,20,14,20
"31",18,24,25,22
"32",27,22,20,22
"33",24,23,19,16
"34",17,18,19,14
"35",22,20,20,9
"36",25,20,14,29
"37",33,22,15,28
"38",21,19,21,20
"39",20,25,20,23
"40",18,22,21,17
"41",17,28,15,24
"42",25,18,14,18
"43",20,18,19,26
"44",15,24,28,24
"45",21,25,23,19
"46",22,25,14,16
"47",24,22,21,23
"48",22,20,21,16
"49",23,29,19,24
"50",23,23,24,28
"51",21,21,19,20
"52",21,25,18,17
"53",23,25,27,22
"54",26,32,20,26
"55",17,20,17,20
"56",23,24,26,27
"57",17,12,25,18
"58",17,17,28,17
"59",22,29,18,30
"60",21,14,25,20
"61",19,22,31,26
"62",21,14,19,24
"63",28,24,20,35
"64",22,23,26,22
"65",13,16,28,18
"66",30,22,28,27
"67",21,24,19,26
"68",23,19,23,15
"69",24,18,21,26
"70",17,27,23,23
"71",26,14,13,19
"72",21,22,20,28
"73",24,17,15,23
"74",21,20,18,17
"75",19,21,24,23
"76",28,16,15,32
"77",27,22,23,20
"78",22,15,20,18
"79",20,19,23,27
"80",24,18,31,23
"81",20,18,22,23
"82",26,21,16,22
"83",18,26,22,22
"84",27,14,25,20
"85",21,20,22,23
"86",21,24,14,27
"87",15,25,18,20
"88",20,18,18,24
"89",23,25,17,31
"90",22,18,19,20
"91",19,26,21,19
"92",17,19,20,35
"93",17,29,23,26
"94",18,26,26,15
"95",17,20,24,15
"96",23,17,24,16
"97",20,19,22,21
"98",18,26,21,22
"99",23,13,24,21
"100",21,20,22,27
"101",30,29,23,17
